Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID	Entrez Gene ID
Abca9	current symbol	MGI:2386796	Abca9	ATP-binding cassette, sub-family A (ABC1), member 9	protein coding gene	ENSMUSG00000041797	217262
Abcc4	current symbol	MGI:2443111	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	protein coding gene	ENSMUSG00000032849	239273
Abcg4	current symbol	MGI:1890594	Abcg4	ATP binding cassette subfamily G member 4	protein coding gene	ENSMUSG00000032131	192663
Abhd13	current symbol	MGI:1916154	Abhd13	abhydrolase domain containing 13	protein coding gene	ENSMUSG00000040396	68904
Abhd17c	current symbol	MGI:1917428	Abhd17c	abhydrolase domain containing 17C	protein coding gene	ENSMUSG00000038459	70178
Abhd2	current symbol	MGI:1914344	Abhd2	abhydrolase domain containing 2	protein coding gene	ENSMUSG00000039202	54608
Abhd6	current symbol	MGI:1913332	Abhd6	abhydrolase domain containing 6	protein coding gene	ENSMUSG00000025277	66082
Ablim2	current symbol	MGI:2385758	Ablim2	actin-binding LIM protein 2	protein coding gene	ENSMUSG00000029095	231148
Ablim3	current symbol	MGI:2442582	Ablim3	actin binding LIM protein family, member 3	protein coding gene	ENSMUSG00000032735	319713
Abr	current symbol	MGI:107771	Abr	active BCR-related gene	protein coding gene	ENSMUSG00000017631	109934
Acan	current symbol	MGI:99602	Acan	aggrecan	protein coding gene	ENSMUSG00000030607	11595
Ace	current symbol	MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	protein coding gene	ENSMUSG00000020681	11421
Ackr1	current symbol	MGI:1097689	Ackr1	atypical chemokine receptor 1 (Duffy blood group)	protein coding gene	ENSMUSG00000037872	13349
Ackr3	current symbol	MGI:109562	Ackr3	atypical chemokine receptor 3	protein coding gene	ENSMUSG00000044337	12778
Aco1	current symbol	MGI:87879	Aco1	aconitase 1	protein coding gene	ENSMUSG00000028405	11428
Acot11	current symbol	MGI:1913736	Acot11	acyl-CoA thioesterase 11	protein coding gene	ENSMUSG00000034853	329910
Acot3	current symbol	MGI:2159619	Acot3	acyl-CoA thioesterase 3	protein coding gene	ENSMUSG00000021228	171281
Acsbg1	current symbol	MGI:2385656	Acsbg1	acyl-CoA synthetase bubblegum family member 1	protein coding gene	ENSMUSG00000032281	94180
Acsf2	current symbol	MGI:2388287	Acsf2	acyl-CoA synthetase family member 2	protein coding gene	ENSMUSG00000076435	264895
Acss2	current symbol	MGI:1890410	Acss2	acyl-CoA synthetase short-chain family member 2	protein coding gene	ENSMUSG00000027605	60525
Actn2	current symbol	MGI:109192	Actn2	actinin alpha 2	protein coding gene	ENSMUSG00000052374	11472
Adam19	current symbol	MGI:105377	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	protein coding gene	ENSMUSG00000011256	11492
Adam22	current symbol	MGI:1340046	Adam22	a disintegrin and metallopeptidase domain 22	protein coding gene	ENSMUSG00000040537	11496
Adamts1	current symbol	MGI:109249	Adamts1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	protein coding gene	ENSMUSG00000022893	11504
Adamts12	current symbol	MGI:2146046	Adamts12	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12	protein coding gene	ENSMUSG00000047497	239337
Adamts15	current symbol	MGI:2449569	Adamts15	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15	protein coding gene	ENSMUSG00000033453	235130
Adamts18	current symbol	MGI:2442600	Adamts18	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18	protein coding gene	ENSMUSG00000053399	208936
Adamts2	current symbol	MGI:1347356	Adamts2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2	protein coding gene	ENSMUSG00000036545	216725
Adamts3	current symbol	MGI:3045353	Adamts3	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3	protein coding gene	ENSMUSG00000043635	330119
Adcy7	current symbol	MGI:102891	Adcy7	adenylate cyclase 7	protein coding gene	ENSMUSG00000031659	11513
Adgra1	current symbol	MGI:1277167	Adgra1	adhesion G protein-coupled receptor A1	protein coding gene	ENSMUSG00000025475	52389
Adgrg1	current symbol	MGI:1340051	Adgrg1	adhesion G protein-coupled receptor G1	protein coding gene	ENSMUSG00000031785	14766
Adgrg3	current symbol	MGI:1859670	Adgrg3	adhesion G protein-coupled receptor G3	protein coding gene	ENSMUSG00000060470	54672
Ado	current symbol	MGI:2685083	Ado	2-aminoethanethiol (cysteamine) dioxygenase	protein coding gene	ENSMUSG00000057134	211488
Adora1	current symbol	MGI:99401	Adora1	adenosine A1 receptor	protein coding gene	ENSMUSG00000042429	11539
Adora2a	current symbol	MGI:99402	Adora2a	adenosine A2a receptor	protein coding gene	ENSMUSG00000020178	11540
Adora2b	current symbol	MGI:99403	Adora2b	adenosine A2b receptor	protein coding gene	ENSMUSG00000018500	11541
Adra1b	current symbol	MGI:104774	Adra1b	adrenergic receptor, alpha 1b	protein coding gene	ENSMUSG00000050541	11548
Adra2a	current symbol	MGI:87934	Adra2a	adrenergic receptor, alpha 2a	protein coding gene	ENSMUSG00000033717	11551
Adra2c	current symbol	MGI:87936	Adra2c	adrenergic receptor, alpha 2c	protein coding gene	ENSMUSG00000045318	11553
Adss	current symbol	MGI:87948	Adss	adenylosuccinate synthetase, non muscle	protein coding gene	ENSMUSG00000015961	11566
Agap3	current symbol	MGI:2183446	Agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	protein coding gene	ENSMUSG00000023353	213990
Agfg1	current symbol	MGI:1333754	Agfg1	ArfGAP with FG repeats 1	protein coding gene	ENSMUSG00000026159	15463
Ahcyl1	current symbol	MGI:2385184	Ahcyl1	S-adenosylhomocysteine hydrolase-like 1	protein coding gene	ENSMUSG00000027893	229709
Ahnak2	current symbol	MGI:2144831	Ahnak2	AHNAK nucleoprotein 2	protein coding gene	ENSMUSG00000072812	100041194
AI464131		No associated gene					
AI593442	current symbol	MGI:2143099	AI593442	expressed sequence AI593442	protein coding gene	ENSMUSG00000078307	330941
Ajap1	current symbol	MGI:2685419	Ajap1	adherens junction associated protein 1	protein coding gene	ENSMUSG00000039546	230959
Ak4	current symbol	MGI:87979	Ak4	adenylate kinase 4	protein coding gene	ENSMUSG00000028527	11639
Ak5	current symbol	MGI:2677491	Ak5	adenylate kinase 5	protein coding gene	ENSMUSG00000039058	229949
Akip1	current symbol	MGI:3041226	Akip1	A kinase (PRKA) interacting protein 1	protein coding gene	ENSMUSG00000031023	57373
Akna	current symbol	MGI:2140340	Akna	AT-hook transcription factor	protein coding gene	ENSMUSG00000039158	100182
Aldh18a1	current symbol	MGI:1888908	Aldh18a1	aldehyde dehydrogenase 18 family, member A1	protein coding gene	ENSMUSG00000025007	56454
Aldh1a3	current symbol	MGI:1861722	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3	protein coding gene	ENSMUSG00000015134	56847
Aldh1l2	current symbol	MGI:2444680	Aldh1l2	aldehyde dehydrogenase 1 family, member L2	protein coding gene	ENSMUSG00000020256	216188
Aldh3a2	current symbol	MGI:1353452	Aldh3a2	aldehyde dehydrogenase family 3, subfamily A2	protein coding gene	ENSMUSG00000010025	11671
Aldoa	current symbol	MGI:87994	Aldoa	aldolase A, fructose-bisphosphate	protein coding gene	ENSMUSG00000030695	11674
Aldoa	current symbol	MGI:87994	Aldoa	aldolase A, fructose-bisphosphate	protein coding gene	ENSMUSG00000114515	11674
Alk	current symbol	MGI:103305	Alk	anaplastic lymphoma kinase	protein coding gene	ENSMUSG00000055471	11682
Alpl	current symbol	MGI:87983	Alpl	alkaline phosphatase, liver/bone/kidney	protein coding gene	ENSMUSG00000028766	11647
Als2cl	current symbol	MGI:2447532	Als2cl	ALS2 C-terminal like	protein coding gene	ENSMUSG00000044037	235633
Amdhd2	current symbol	MGI:2443978	Amdhd2	amidohydrolase domain containing 2	protein coding gene	ENSMUSG00000036820	245847
Amot	current symbol	MGI:108440	Amot	angiomotin	protein coding gene	ENSMUSG00000041688	27494
Ampd2	current symbol	MGI:88016	Ampd2	adenosine monophosphate deaminase 2	protein coding gene	ENSMUSG00000027889	109674
Angptl2	current symbol	MGI:1347002	Angptl2	angiopoietin-like 2	protein coding gene	ENSMUSG00000004105	26360
Ankrd13a	current symbol	MGI:1915670	Ankrd13a	ankyrin repeat domain 13a	protein coding gene	ENSMUSG00000041870	68420
Ankrd29	current symbol	MGI:2687055	Ankrd29	ankyrin repeat domain 29	protein coding gene	ENSMUSG00000057766	225187
Ankrd34a	current symbol	MGI:3617846	Ankrd34a	ankyrin repeat domain 34A	protein coding gene	ENSMUSG00000049097	545554
Ankrd55	current symbol	MGI:1924568	Ankrd55	ankyrin repeat domain 55	protein coding gene	ENSMUSG00000049985	77318
Ankrd6	current symbol	MGI:2154278	Ankrd6	ankyrin repeat domain 6	protein coding gene	ENSMUSG00000040183	140577
Ano6	current symbol	MGI:2145890	Ano6	anoctamin 6	protein coding gene	ENSMUSG00000064210	105722
Anxa11	current symbol	MGI:108481	Anxa11	annexin A11	protein coding gene	ENSMUSG00000021866	11744
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	ENSMUSG00000018340	11749
Ap1ar	current symbol	MGI:2384822	Ap1ar	adaptor-related protein complex 1 associated regulatory protein	protein coding gene	ENSMUSG00000074238	211556
Ap3s2	current symbol	MGI:1337060	Ap3s2	adaptor-related protein complex 3, sigma 2 subunit	protein coding gene	ENSMUSG00000063801	11778
Apbb2	current symbol	MGI:108405	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	protein coding gene	ENSMUSG00000029207	11787
Apln	current symbol	MGI:1353624	Apln	apelin	protein coding gene	ENSMUSG00000037010	30878
Apobec1	current symbol	MGI:103298	Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	protein coding gene	ENSMUSG00000040613	11810
Aqp11	current symbol	MGI:1913583	Aqp11	aquaporin 11	protein coding gene	ENSMUSG00000042797	66333
Arap3	current symbol	MGI:2147274	Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	protein coding gene	ENSMUSG00000024451	106952
Arhgap33	current symbol	MGI:2673998	Arhgap33	Rho GTPase activating protein 33	protein coding gene	ENSMUSG00000036882	233071
Arhgef16	current symbol	MGI:2446219	Arhgef16	Rho guanine nucleotide exchange factor (GEF) 16	protein coding gene	ENSMUSG00000029032	230972
Arhgef2	current symbol	MGI:103264	Arhgef2	rho/rac guanine nucleotide exchange factor (GEF) 2	protein coding gene	ENSMUSG00000028059	16800
Arhgef28	current symbol	MGI:1346016	Arhgef28	Rho guanine nucleotide exchange factor (GEF) 28	protein coding gene	ENSMUSG00000021662	110596
Arl16	current symbol	MGI:1917567	Arl16	ADP-ribosylation factor-like 16	protein coding gene	ENSMUSG00000057594	70317
Arl4d	current symbol	MGI:1933155	Arl4d	ADP-ribosylation factor-like 4D	protein coding gene	ENSMUSG00000034936	80981
Arl8b	current symbol	MGI:1914416	Arl8b	ADP-ribosylation factor-like 8B	protein coding gene	ENSMUSG00000030105	67166
Arntl	current symbol	MGI:1096381	Arntl	aryl hydrocarbon receptor nuclear translocator-like	protein coding gene	ENSMUSG00000055116	11865
Arpc4	current symbol	MGI:1915339	Arpc4	actin related protein 2/3 complex, subunit 4	protein coding gene	ENSMUSG00000079426	68089
Arrdc2	current symbol	MGI:1918057	Arrdc2	arrestin domain containing 2	protein coding gene	ENSMUSG00000002910	70807
Arrdc4	current symbol	MGI:1913662	Arrdc4	arrestin domain containing 4	protein coding gene	ENSMUSG00000042659	66412
Arsa	current symbol	MGI:88077	Arsa	arylsulfatase A	protein coding gene	ENSMUSG00000022620	11883
Arsb	current symbol	MGI:88075	Arsb	arylsulfatase B	protein coding gene	ENSMUSG00000042082	11881
Arsg	current symbol	MGI:1921258	Arsg	arylsulfatase G	protein coding gene	ENSMUSG00000020604	74008
Asic1	current symbol	MGI:1194915	Asic1	acid-sensing (proton-gated) ion channel 1	protein coding gene	ENSMUSG00000023017	11419
Asic2	current symbol	MGI:1100867	Asic2	acid-sensing (proton-gated) ion channel 2	protein coding gene	ENSMUSG00000020704	11418
Asic4	current symbol	MGI:2652846	Asic4	acid-sensing (proton-gated) ion channel family member 4	protein coding gene	ENSMUSG00000033007	241118
Asnsd1	current symbol	MGI:1917646	Asnsd1	asparagine synthetase domain containing 1	protein coding gene	ENSMUSG00000026095	70396
Asphd1	current symbol	MGI:2685014	Asphd1	aspartate beta-hydroxylase domain containing 1	protein coding gene	ENSMUSG00000046378	233879
Astn2	current symbol	MGI:1889277	Astn2	astrotactin 2	protein coding gene	ENSMUSG00000028373	56079
Atf4	current symbol	MGI:88096	Atf4	activating transcription factor 4	protein coding gene	ENSMUSG00000042406	11911
Atf5	current symbol	MGI:2141857	Atf5	activating transcription factor 5	protein coding gene	ENSMUSG00000038539	107503
Atg10	current symbol	MGI:1914045	Atg10	autophagy related 10	protein coding gene	ENSMUSG00000021619	66795
Atn1	current symbol	MGI:104725	Atn1	atrophin 1	protein coding gene	ENSMUSG00000004263	13498
Atp12a	current symbol	MGI:1926943	Atp12a	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	protein coding gene	ENSMUSG00000022229	192113
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	ENSMUSG00000033161	11928
Atp1a2	current symbol	MGI:88106	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	protein coding gene	ENSMUSG00000007097	98660
Atp1b2	current symbol	MGI:88109	Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide	protein coding gene	ENSMUSG00000041329	11932
Atp2b4	current symbol	MGI:88111	Atp2b4	ATPase, Ca++ transporting, plasma membrane 4	protein coding gene	ENSMUSG00000026463	381290
Atrn	current symbol	MGI:1341628	Atrn	attractin	protein coding gene	ENSMUSG00000027312	11990
Atrnl1	current symbol	MGI:2147749	Atrnl1	attractin like 1	protein coding gene	ENSMUSG00000054843	226255
Atxn2	current symbol	MGI:1277223	Atxn2	ataxin 2	protein coding gene	ENSMUSG00000042605	20239
Avpr1a	current symbol	MGI:1859216	Avpr1a	arginine vasopressin receptor 1A	protein coding gene	ENSMUSG00000020123	54140
AW551984	current symbol	MGI:2143322	AW551984	expressed sequence AW551984	protein coding gene	ENSMUSG00000038112	244810
B2m	current symbol	MGI:88127	B2m	beta-2 microglobulin	protein coding gene	ENSMUSG00000060802	12010
B3galt5	current symbol	MGI:2136878	B3galt5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	protein coding gene	ENSMUSG00000074892	93961
B3gat1	current symbol	MGI:1924148	B3gat1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)	protein coding gene	ENSMUSG00000045994	76898
B3glct	current symbol	MGI:2685903	B3glct	beta-3-glucosyltransferase	protein coding gene	ENSMUSG00000051950	381694
Baalc	current symbol	MGI:1928704	Baalc	brain and acute leukemia, cytoplasmic	protein coding gene	ENSMUSG00000022296	118452
Baiap2l2	current symbol	MGI:2652819	Baiap2l2	BAI1-associated protein 2-like 2	protein coding gene	ENSMUSG00000018126	207495
Baiap3	current symbol	MGI:2685783	Baiap3	BAI1-associated protein 3	protein coding gene	ENSMUSG00000047507	545192
BC024139	current symbol	MGI:2442591	BC024139	cDNA sequence BC024139	protein coding gene	ENSMUSG00000044361	271278
Bcl2l11	current symbol	MGI:1197519	Bcl2l11	BCL2-like 11 (apoptosis facilitator)	protein coding gene	ENSMUSG00000027381	12125
Bcl6	current symbol	MGI:107187	Bcl6	B cell leukemia/lymphoma 6	protein coding gene	ENSMUSG00000022508	12053
Bcor	current symbol	MGI:1918708	Bcor	BCL6 interacting corepressor	protein coding gene	ENSMUSG00000040363	71458
Bhlhe40	current symbol	MGI:1097714	Bhlhe40	basic helix-loop-helix family, member e40	protein coding gene	ENSMUSG00000030103	20893
Bmp7	current symbol	MGI:103302	Bmp7	bone morphogenetic protein 7	protein coding gene	ENSMUSG00000008999	12162
Bmyc	current symbol	MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	protein coding gene	ENSMUSG00000049086	107771
Brinp2	current symbol	MGI:2443333	Brinp2	bone morphogenic protein/retinoic acid inducible neural-specific 2	protein coding gene	ENSMUSG00000004031	240843
Btbd11	current symbol	MGI:1921257	Btbd11	BTB (POZ) domain containing 11	protein coding gene	ENSMUSG00000020042	74007
Btbd17	current symbol	MGI:1919264	Btbd17	BTB (POZ) domain containing 17	protein coding gene	ENSMUSG00000000202	72014
Btbd2	current symbol	MGI:1933831	Btbd2	BTB (POZ) domain containing 2	protein coding gene	ENSMUSG00000003344	208198
Btbd3	current symbol	MGI:2385155	Btbd3	BTB (POZ) domain containing 3	protein coding gene	ENSMUSG00000062098	228662
Btbd6	current symbol	MGI:3026623	Btbd6	BTB (POZ) domain containing 6	protein coding gene	ENSMUSG00000002803	399566
C1ql2	current symbol	MGI:3032521	C1ql2	complement component 1, q subcomponent-like 2	protein coding gene	ENSMUSG00000036907	226359
C1qtnf5	current symbol	MGI:2385958	C1qtnf5	C1q and tumor necrosis factor related protein 5	protein coding gene	ENSMUSG00000079592	235312
C2cd2l	current symbol	MGI:1919014	C2cd2l	C2 calcium-dependent domain containing 2-like	protein coding gene	ENSMUSG00000032120	71764
C2cd4c	current symbol	MGI:2685084	C2cd4c	C2 calcium-dependent domain containing 4C	protein coding gene	ENSMUSG00000045912	237397
Cables2	current symbol	MGI:2182335	Cables2	CDK5 and Abl enzyme substrate 2	protein coding gene	ENSMUSG00000038990	252966
Cacna1g	current symbol	MGI:1201678	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	protein coding gene	ENSMUSG00000020866	12291
Cacna1i	current symbol	MGI:2178051	Cacna1i	calcium channel, voltage-dependent, alpha 1I subunit	protein coding gene	ENSMUSG00000022416	239556
Cacna2d2	current symbol	MGI:1929813	Cacna2d2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	protein coding gene	ENSMUSG00000010066	56808
Cacna2d3	current symbol	MGI:1338890	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3	protein coding gene	ENSMUSG00000021991	12294
Cacng3	current symbol	MGI:1859165	Cacng3	calcium channel, voltage-dependent, gamma subunit 3	protein coding gene	ENSMUSG00000066189	54376
Cacng4	current symbol	MGI:1859167	Cacng4	calcium channel, voltage-dependent, gamma subunit 4	protein coding gene	ENSMUSG00000020723	54377
Cacng5	current symbol	MGI:2157946	Cacng5	calcium channel, voltage-dependent, gamma subunit 5	protein coding gene	ENSMUSG00000040373	140723
Calb2	current symbol	MGI:101914	Calb2	calbindin 2	protein coding gene	ENSMUSG00000003657	12308
Camk1g	current symbol	MGI:2388073	Camk1g	calcium/calmodulin-dependent protein kinase I gamma	protein coding gene	ENSMUSG00000016179	215303
Camk2a	current symbol	MGI:88256	Camk2a	calcium/calmodulin-dependent protein kinase II alpha	protein coding gene	ENSMUSG00000024617	12322
Camk2b	current symbol	MGI:88257	Camk2b	calcium/calmodulin-dependent protein kinase II, beta	protein coding gene	ENSMUSG00000057897	12323
Camk2n1	current symbol	MGI:1913509	Camk2n1	calcium/calmodulin-dependent protein kinase II inhibitor 1	protein coding gene	ENSMUSG00000046447	66259
Camkk1	current symbol	MGI:1891766	Camkk1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	protein coding gene	ENSMUSG00000020785	55984
Camkk2	current symbol	MGI:2444812	Camkk2	calcium/calmodulin-dependent protein kinase kinase 2, beta	protein coding gene	ENSMUSG00000029471	207565
Camkv	current symbol	MGI:2384296	Camkv	CaM kinase-like vesicle-associated	protein coding gene	ENSMUSG00000032936	235604
Canx	current symbol	MGI:88261	Canx	calnexin	protein coding gene	ENSMUSG00000020368	12330
Cap2	current symbol	MGI:1914502	Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)	protein coding gene	ENSMUSG00000021373	67252
Capn3	current symbol	MGI:107437	Capn3	calpain 3	protein coding gene	ENSMUSG00000079110	12335
Car12	current symbol	MGI:1923709	Car12	carbonic anhydrase 12	protein coding gene	ENSMUSG00000032373	76459
Car5b	current symbol	MGI:1926249	Car5b	carbonic anhydrase 5b, mitochondrial	protein coding gene	ENSMUSG00000031373	56078
Car8	current symbol	MGI:88253	Car8	carbonic anhydrase 8	protein coding gene	ENSMUSG00000041261	12319
Carmil1	current symbol	MGI:1915982	Carmil1	capping protein regulator and myosin 1 linker 1	protein coding gene	ENSMUSG00000021338	68732
Cass4	current symbol	MGI:2444482	Cass4	Cas scaffolding protein family member 4	protein coding gene	ENSMUSG00000074570	320664
Cav1	current symbol	MGI:102709	Cav1	caveolin 1, caveolae protein	protein coding gene	ENSMUSG00000007655	12389
Cbln1	current symbol	MGI:88281	Cbln1	cerebellin 1 precursor protein	protein coding gene	ENSMUSG00000031654	12404
Cbln4	current symbol	MGI:2154433	Cbln4	cerebellin 4 precursor protein	protein coding gene	ENSMUSG00000067578	228942
Ccbe1	current symbol	MGI:2445053	Ccbe1	collagen and calcium binding EGF domains 1	protein coding gene	ENSMUSG00000046318	320924
Ccdc116	current symbol	MGI:1924122	Ccdc116	coiled-coil domain containing 116	protein coding gene	ENSMUSG00000022768	76872
Ccdc25	current symbol	MGI:1914429	Ccdc25	coiled-coil domain containing 25	protein coding gene	ENSMUSG00000022035	67179
Ccdc74a	current symbol	MGI:1919565	Ccdc74a	coiled-coil domain containing 74A	protein coding gene	ENSMUSG00000041617	72315
Ccdc85c	current symbol	MGI:3644008	Ccdc85c	coiled-coil domain containing 85C	protein coding gene	ENSMUSG00000084883	668158
Cck	current symbol	MGI:88297	Cck	cholecystokinin	protein coding gene	ENSMUSG00000032532	12424
Cckbr	current symbol	MGI:99479	Cckbr	cholecystokinin B receptor	protein coding gene	ENSMUSG00000030898	12426
Ccna1	current symbol	MGI:108042	Ccna1	cyclin A1	protein coding gene	ENSMUSG00000027793	12427
Ccnjl	current symbol	MGI:2685723	Ccnjl	cyclin J-like	protein coding gene	ENSMUSG00000044707	380694
Ccp110	current symbol	MGI:2141942	Ccp110	centriolar coiled coil protein 110	protein coding gene	ENSMUSG00000033904	101565
Cd36	current symbol	MGI:107899	Cd36	CD36 molecule	protein coding gene	ENSMUSG00000002944	12491
Cd44	current symbol	MGI:88338	Cd44	CD44 antigen	protein coding gene	ENSMUSG00000005087	12505
Cd55	current symbol	MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	protein coding gene	ENSMUSG00000026399	13136
Cd74	current symbol	MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	protein coding gene	ENSMUSG00000024610	16149
Cd83	current symbol	MGI:1328316	Cd83	CD83 antigen	protein coding gene	ENSMUSG00000015396	12522
Cdc20b	current symbol	MGI:3644472	Cdc20b	cell division cycle 20B	protein coding gene	ENSMUSG00000078926	238896
Cdc42ep2	current symbol	MGI:1929744	Cdc42ep2	CDC42 effector protein (Rho GTPase binding) 2	protein coding gene	ENSMUSG00000045664	104252
Cdc42se2	current symbol	MGI:1919979	Cdc42se2	CDC42 small effector 2	protein coding gene	ENSMUSG00000052298	72729
Cdh11	current symbol	MGI:99217	Cdh11	cadherin 11	protein coding gene	ENSMUSG00000031673	12552
Cdh13	current symbol	MGI:99551	Cdh13	cadherin 13	protein coding gene	ENSMUSG00000031841	12554
Cdh22	current symbol	MGI:1341843	Cdh22	cadherin 22	protein coding gene	ENSMUSG00000053166	104010
Cdh24	current symbol	MGI:1928330	Cdh24	cadherin-like 24	protein coding gene	ENSMUSG00000059674	239096
Cdh4	current symbol	MGI:99218	Cdh4	cadherin 4	protein coding gene	ENSMUSG00000000305	12561
Cdh9	current symbol	MGI:107433	Cdh9	cadherin 9	protein coding gene	ENSMUSG00000025370	12565
Cdhr1	current symbol	MGI:2157782	Cdhr1	cadherin-related family member 1	protein coding gene	ENSMUSG00000021803	170677
Cdk19	current symbol	MGI:1925584	Cdk19	cyclin-dependent kinase 19	protein coding gene	ENSMUSG00000038481	78334
Cdk2ap1	current symbol	MGI:1202069	Cdk2ap1	CDK2 (cyclin-dependent kinase 2)-associated protein 1	protein coding gene	ENSMUSG00000029394	13445
Cdk8	current symbol	MGI:1196224	Cdk8	cyclin-dependent kinase 8	protein coding gene	ENSMUSG00000029635	264064
Cdkn1c	current symbol	MGI:104564	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	protein coding gene	ENSMUSG00000037664	12577
Cdpf1	current symbol	MGI:1919605	Cdpf1	cysteine rich, DPF motif domain containing 1	protein coding gene	ENSMUSG00000064284	72355
Cds1	current symbol	MGI:1921846	Cds1	CDP-diacylglycerol synthase 1	protein coding gene	ENSMUSG00000029330	74596
Cdv3	current symbol	MGI:2448759	Cdv3	carnitine deficiency-associated gene expressed in ventricle 3	protein coding gene	ENSMUSG00000032803	321022
